JIVE,5.25,0.00,0.00%,0
NVCN,0.78,0.00,0.00%,"306,242"
CVCO,153.20,0.05,+0.03%,"29,160"
CVCY,20.47,-0.01,-0.05%,"18,645"
SLAB,91.25,0.15,+0.16%,"279,474"
FEYE,14.10,-0.04,-0.28%,"3,307,572"
AKTX,4.84,-0.02,-0.41%,"102,461"
IBKC,78.20,0.45,+0.58%,"513,194"
FARM,34.40,0.20,+0.58%,"28,007"
POPE,70.55,-0.45,-0.63%,685
TSLA,306.53,-2.32,-0.75%,"4,292,868"
KLXI,55.64,-0.47,-0.84%,"339,264"
WLB,1.16,0.01,+0.87%,"179,067"
CMRX,4.51,0.04,+0.89%,"301,805"
EXAC,42.35,0.40,+0.95%,"226,388"
SCON,1.05,0.01,+0.96%,"69,691"
ATEC,2.65,0.03,+1.15%,"78,409"
NRCIB,53.2127,0.7127,+1.3575%,"5,317"
FARO,51.45,-0.85,-1.63%,"57,870"
NVCR,19.60,0.35,+1.82%,"1,416,948"
FNLC,30.25,-0.73,-2.36%,"27,772"
EXAS,57.95,-1.53,-2.57%,"1,575,196"
FRSH,6.29,-0.20,-3.08%,"72,232"
SPHS,1.97,-0.07,-3.43%,"484,033"
NRCIA,35.60,1.65,+4.86%,"33,074"
FRTA,9.35,-0.49,-4.98%,"727,357"
OPTT,1.20,-0.06,-5.14%,"1,416,800"
FNJN,2.41,0.12,+5.24%,"372,325"
LTEA,2.13,-0.12,-5.33%,"93,524"
AGLE,4.73,0.73,+18.25%,"189,649"
